ts,request_id,user_id,variant,stage,model_name,model_version,features_json,prediction_label,prediction_proba,y_true
2026-01-16T06:58:58.924061,req-1,123,B,Staging,wine_quality_binary_model,4,"{""fixed acidity"": 7.4, ""volatile acidity"": 0.49, ""citric acid"": 0.27, ""residual sugar"": 2.1, ""chlorides"": 0.071, ""free sulfur dioxide"": 14, ""total sulfur dioxide"": 25, ""density"": 1.034, ""pH"": 3.25, ""sulphates"": 0.63, ""alcohol"": 13}",1,1.0,1
2026-01-16T06:59:00.636111,req-1,123,B,Staging,wine_quality_binary_model,4,"{""fixed acidity"": 8.9, ""volatile acidity"": 0.31, ""citric acid"": 0.36, ""residual sugar"": 2.6, ""chlorides"": 0.056, ""free sulfur dioxide"": 10, ""total sulfur dioxide"": 39, ""density"": 0.99562, ""pH"": 3.4, ""sulphates"": 0.69, ""alcohol"": 11.8}",1,0.81,0
2026-01-16T06:59:08.217836,req-1,123,B,Staging,wine_quality_binary_model,4,"{""fixed acidity"": 8.9, ""volatile acidity"": 0.31, ""citric acid"": 0.36, ""residual sugar"": 2.6, ""chlorides"": 0.056, ""free sulfur dioxide"": 10, ""total sulfur dioxide"": 39, ""density"": 0.99562, ""pH"": 3.4, ""sulphates"": 0.69, ""alcohol"": 11.8}",1,0.81,0
2026-01-16T06:59:14.563104,req-1,123,B,Staging,wine_quality_binary_model,4,"{""fixed acidity"": 8.9, ""volatile acidity"": 0.31, ""citric acid"": 0.36, ""residual sugar"": 2.6, ""chlorides"": 0.056, ""free sulfur dioxide"": 10, ""total sulfur dioxide"": 39, ""density"": 0.99562, ""pH"": 3.4, ""sulphates"": 0.69, ""alcohol"": 11.8}",1,0.81,0
2026-01-16T06:59:17.983401,req-1,123,A,Production,wine_quality_binary_model,1,"{""fixed acidity"": 8.9, ""volatile acidity"": 0.31, ""citric acid"": 0.36, ""residual sugar"": 2.6, ""chlorides"": 0.056, ""free sulfur dioxide"": 10, ""total sulfur dioxide"": 39, ""density"": 0.99562, ""pH"": 3.4, ""sulphates"": 0.69, ""alcohol"": 11.8}",1,0.93,0
2026-01-16T06:59:25.107335,req-1,123,B,Staging,wine_quality_binary_model,4,"{""fixed acidity"": 8.9, ""volatile acidity"": 0.31, ""citric acid"": 0.36, ""residual sugar"": 2.6, ""chlorides"": 0.056, ""free sulfur dioxide"": 10, ""total sulfur dioxide"": 39, ""density"": 0.99562, ""pH"": 3.4, ""sulphates"": 0.69, ""alcohol"": 11.8}",1,0.81,0
2026-01-16T07:26:10.271257,req-1,123,B,Staging,wine_quality_binary_model,4,"{""fixed acidity"": 7.4, ""volatile acidity"": 0.49, ""citric acid"": 0.27, ""residual sugar"": 2.1, ""chlorides"": 0.071, ""free sulfur dioxide"": 14, ""total sulfur dioxide"": 25, ""density"": 1.034, ""pH"": 3.25, ""sulphates"": 0.63, ""alcohol"": 13}",1,1.0,1
2026-01-16T07:26:19.995409,req-1,123,A,Production,wine_quality_binary_model,1,"{""fixed acidity"": 7.4, ""volatile acidity"": 0.49, ""citric acid"": 0.27, ""residual sugar"": 2.1, ""chlorides"": 0.071, ""free sulfur dioxide"": 14, ""total sulfur dioxide"": 25, ""density"": 1.034, ""pH"": 3.25, ""sulphates"": 0.63, ""alcohol"": 13}",1,0.89,1
2026-01-16T07:26:27.918395,req-1,123,A,Production,wine_quality_binary_model,1,"{""fixed acidity"": 7.4, ""volatile acidity"": 0.49, ""citric acid"": 0.27, ""residual sugar"": 2.1, ""chlorides"": 0.071, ""free sulfur dioxide"": 14, ""total sulfur dioxide"": 25, ""density"": 1.034, ""pH"": 3.25, ""sulphates"": 0.63, ""alcohol"": 13}",1,0.89,1
2026-01-16T07:26:32.297484,req-1,123,B,Staging,wine_quality_binary_model,4,"{""fixed acidity"": 7.4, ""volatile acidity"": 0.49, ""citric acid"": 0.27, ""residual sugar"": 2.1, ""chlorides"": 0.071, ""free sulfur dioxide"": 14, ""total sulfur dioxide"": 25, ""density"": 1.034, ""pH"": 3.25, ""sulphates"": 0.63, ""alcohol"": 13}",1,1.0,1
